step,train_loss,train_accuracy,valid_loss,valid_mean_token_accuracy
562,1.4911,0.66929,,
563,1.30287,0.68293,,
564,1.38256,0.69937,,
565,1.70139,0.64083,,
566,1.73291,0.62609,,
567,1.53197,0.65013,,
568,1.76301,0.62907,,
569,1.36998,0.72878,,
570,1.45246,0.68623,,
571,1.84493,0.61388,,
572,1.76746,0.62283,,
573,1.23314,0.74792,,
574,1.4701,0.67061,,
575,1.57433,0.66615,,
576,1.33094,0.70402,,
577,1.33118,0.70265,,
578,1.34304,0.71397,,
579,1.47176,0.68911,,
580,1.45998,0.67933,,
581,1.52292,0.67753,,
582,1.5909,0.68235,,
583,1.47417,0.67283,,
584,1.38762,0.69288,,
585,1.26763,0.70784,,
586,1.59317,0.67421,,
587,1.46756,0.67906,,
588,1.61544,0.63203,,
589,1.22129,0.69853,,
590,1.35929,0.69114,,
591,1.32549,0.70624,,
592,1.552,0.63124,,
593,1.20224,0.74318,,
594,1.24224,0.71014,,
595,1.12299,0.73295,,
596,1.09021,0.75569,,
597,1.1163,0.74292,,
598,1.3104,0.69712,,
599,1.37266,0.68009,,
600,1.51056,0.67198,,
601,1.16992,0.71158,1.41838,0.54397
602,1.34026,0.71369,,
603,1.3277,0.6979,,
604,1.2752,0.70307,,
605,1.48113,0.68985,,
606,1.50666,0.66504,,
607,1.50931,0.67704,,
608,1.09119,0.74229,,
609,1.18134,0.71319,,
610,1.16053,0.74401,,
611,1.5888,0.66316,,
612,1.44481,0.68191,,
613,1.37061,0.68856,,
614,0.94286,0.74569,,
615,1.44214,0.68172,,
616,1.58474,0.67683,,
617,1.51088,0.65075,,
618,1.34403,0.67086,,
619,1.21102,0.72144,,
620,1.32581,0.70878,,
621,1.42212,0.70504,,
622,1.26334,0.71094,,
623,1.48088,0.6763,,
624,1.44933,0.69355,,
625,1.38421,0.70505,,
626,1.42115,0.70528,,
627,1.4627,0.68284,,
628,1.35891,0.67967,,
629,1.50524,0.66724,,
630,1.14485,0.74409,,
631,1.41663,0.67325,,
632,1.34636,0.69262,,
633,1.57032,0.67216,,
634,1.45154,0.67462,,
635,1.57726,0.65859,,
636,1.47434,0.67708,,
637,1.39816,0.68616,,
638,1.41411,0.67181,,
639,1.31794,0.69275,,
640,1.25784,0.70281,,
641,1.19495,0.733,,
642,1.34729,0.71887,,
643,1.16709,0.74099,,
644,1.34125,0.69439,,
645,1.19152,0.72242,,
646,1.57093,0.68864,,
647,1.0894,0.72066,,
648,1.26689,0.72211,,
649,1.2647,0.73346,,
650,1.39745,0.68199,,
651,1.02634,0.75246,,
652,1.5198,0.66214,,
653,1.35052,0.67024,,
654,1.28342,0.70194,,
655,1.42811,0.68277,,
656,1.07705,0.73684,,
657,1.47472,0.66462,,
658,1.26659,0.73624,,
659,1.31293,0.72443,,
660,1.37533,0.68504,,
661,1.44822,0.66012,,
662,1.21019,0.73626,,
663,1.49075,0.67029,,
664,1.24329,0.74818,,
665,1.0754,0.76244,,
666,1.1773,0.7271,,
667,1.35029,0.71067,,
668,1.53287,0.67839,,
669,1.58,0.65859,,
670,0.96861,0.74658,,
671,1.2275,0.7256,,
672,1.35032,0.71739,,
673,1.29733,0.698,,
674,1.54661,0.64669,,
675,1.38793,0.67511,,
676,1.49987,0.65416,,
677,1.441,0.71132,,
678,1.10371,0.7416,,
679,0.90182,0.77801,,
680,1.13593,0.71116,,
681,1.47703,0.67626,,
682,1.17778,0.69764,,
683,1.30826,0.70316,,
684,1.2185,0.70439,,
685,1.35277,0.6879,,
686,1.14457,0.72443,,
687,1.11426,0.74067,,
688,1.40142,0.69502,,
689,1.16108,0.71073,,
690,1.46,0.72211,,
691,1.34598,0.69213,,
692,1.51727,0.66437,,
693,1.31306,0.71285,,
694,1.30804,0.73425,,
695,1.35328,0.68119,,
696,1.41086,0.70179,,
697,1.21841,0.74279,,
698,1.29033,0.71203,,
699,1.5054,0.68764,,
700,1.4801,0.66835,,
701,1.12559,0.74138,1.43788,0.57812
702,1.04546,0.75712,,
703,1.42047,0.69892,,
704,1.42137,0.65171,,
705,1.17588,0.74945,,
706,1.19544,0.72867,,
707,1.09518,0.76014,,
708,1.51284,0.65952,,
709,1.34424,0.70662,,
710,1.3899,0.68271,,
711,1.12692,0.73815,,
712,1.40787,0.70061,,
713,1.14156,0.72366,,
714,1.41093,0.68197,,
715,1.29044,0.75103,,
716,1.10289,0.75294,,
717,1.12347,0.73933,,
718,1.12645,0.74728,,
719,1.50259,0.64696,,
720,1.24069,0.73756,,
721,1.39226,0.70935,,
722,1.35171,0.70044,,
723,1.31464,0.69684,,
724,1.50154,0.66194,,
725,1.44954,0.66029,,
726,1.38478,0.69052,,
727,1.2138,0.70133,,
728,1.5701,0.68476,,
729,1.53153,0.6746,,
730,1.34147,0.68998,,
731,1.25261,0.72566,,
732,1.29077,0.7096,,
733,1.3501,0.70037,,
734,1.35286,0.71536,,
